text_object,containsMention_category,weekday_category
"rt thanks to the extraordinary leadership of president our economy grew at % — the largest economic growth…",1,4
"rt if trump re elected us credibility as a model democracy would be shattered its believability as leader…",1,4
"rt ellen when in doubt lean to the positive whatisschool ell…",1,4
"rt mama’s fan choice awards mamavote treasure",1,4
"rt why would someone prefer this theory over the actual story? <u+f>",1,4
"it was a spreader of love event <u+fd><u+fd><u+fd>",1,4
"rt have you ever made omelettes in a bag? many people i make this for are shocked that you can do this but i find it very…",1,4
"damn sure sucks and fxck i want to go to japan so bad ",1,4
"rt sen david perdue is out for himself — not for our health",1,4
"yall this arianaadele my birthday stay dropping hits",0,4
"who you taking? i say denzel",0,4
"rt just had a great meeting with besides what he’s done so far with criminal reform the platinum plan…",1,4
"mexo mt however long it takes",1,4
" you know what to do <u+f>",1,4
"lmao i love this <u+fc><u+fc>",1,4
"fan behavior",1,4
"is that why you are okay taking the word god out of the schools and our pledge",1,4
"rt listening to brother never fails to lift my mood <u+f><u+ff><u+fec>",1,4
"rt today there were new coronavirus cases in the us according to data from johns hopkins university — making thi…",1,4
"rt ""such a politics of empathy is part of what i would call a politics of theosis"" ~ in",1,4
"rt opens up about why she voted for trump and why shes changed her mind ""it wasnt my faith that led me to vote fo…",1,4
"rt weve partnered with title sponsor to create a special day for one lucky person tell us below why your…",1,4
"rt twice and m countdown ""i cant stop me"" on youtube <u+db><u+c><u+c><u+ca> eyeswideopen icantstopme",1,4
"rt cnn so far today there have been daily new coronavirus cases in the united states per johns hopkins university data…",1,4
"rt smashbros credit to whoever made this",1,4
"i think they wait years if he can hold out so shell still ve eligible for more runs",1,4
"tina bro and to top it off we danced “stand by me” by prince royce for the valz <u+f><u+f><u+f>",1,4
"dr roy richard grinker is an outstanding human being i look forward to his new book",1,4
"rt i will be reaching out to head of twitter about their policies being violated every day by president tump hope my call is…",1,4
"rt home by christmas please send this email to your mp to get our client anoosheh ashoori and nazanin zaghari ratcliffe home fr…",1,4
" yaaaaaay eli isn’t taken so you can have him if you want",1,4
"rt just added some footballs in there too footballs jerseys and mini helmets issa bonus wooo<u+fc><u+ffd><u+fc><u+ffd>",1,4
"have a nice day mashi i love you <u+fa><u+a><u+fef>",1,4
"rt lost a lot of ppl pray i see em in paradise ima make me proud wherever they are",1,4
" the audacity",1,4
"aar im so sorry heather",1,4
"rt <u+>giveaway<u+> enhypen mini album winners <u+fa> <u+>rules follow and rt tag moots ww good luck <u+fa><u+f>",1,4
"once again providing me with that thing i never knew was missing from my life a true hero",1,4
"i wouldnt say so outside it having the worst megaten dungeon in existance but",1,4
"one of my favorites perhaps because it is accessible to all and somewhat agrarian pound like bu…",1,4
"rt lesbians on a water break after rounds of sex<u+fd>",1,4
"rt the man behind me getting into sports and artswishing one of my pillars of support and strength mama…",1,4
"rt low studying by yourself &gt group studying but studying by yourself with another person who is also studying by themself &gt studyi…",1,4
"a now that is a power move leadloudly",1,4
"jk i dont do threads live its chaos time",0,4
"i do women will revolt",1,4
" episodes till this show is over forever ",0,4
"looking for this in any conditionlet me know",1,4
"it’s me i told her she’s cute",0,4
"rt for my birthday kanye got me the most thoughtful gift of a lifetime a special surprise from heaven a hologram of my d…",1,4
"this is what you get when you elect a republican failed policies",1,4
"my soulmate is so sad <u+fd>",1,4
"gsbph indeed im a gemini mc and cap venus and i adore my public self control <u+f>",1,4
"not from me they dont",1,4
"rt kim taehyung putting models into shame since ",1,4
" lmaoooooo my one friend just said i should add the card on the right to my melek deck i might jus…",1,4
"rt k continue donating to for the november comeback if you are able to <u+fc>",1,4
"gimme my bowl i’m hungry <u+f><u+f> famished ",0,4
"rt <u+fa>flannel bundle giveaway<u+fa> retweet with sweepstakes and follow us for your chance to win a busch flannel bundle tag someon…",1,4
"rt know your rights | voting rights",1,4
"probably looming for some ain’t gonna be there",1,4
"florida judge resigns from vote counting board following report on trump donations",0,4
"rt art of the deal? quid pro quo?",1,4
"sorry<u+f><u+f><u+f>",1,4
"horrific and tragic qn why do the french call death by neck slashed a beheading? three dead in nice aft…",0,4
"rt i really love simple date walking together laughing talking about schewpid stuffs nothing so extraordinary just a simp…",1,4
"rt true love is mad tlplive madeinlagos",1,4
"bro that wasnt a random suburban mom guarantee that biden broad was a campaign surrogate or staffer",1,4
"rt tell me how you reform this",1,4
"rt thanks for the afrobeats exploration<u+a><u+ffe> we’ve seen the strength ye were talking about earlier madeinlagos…",1,4
"rt llins wizkid finish work for this track absolute <u+f><u+f><u+f> madness <u+f><u+f><u+><u+fef> madeinlagos",1,4
"we love you louis we love you louis we love you louis we love you louis we love you louis we love y…",1,4
"rt ""they nigerian youths are high on drugs all the time most of them they go to social media to do all sorts of thing…",1,4
"still want a good couch<u+f>",1,4
"rt want to know why maga lunatics like nazi scum laura ingraham are attacking congresswoman for her $k wardrobe van…",1,4
"rt mimi i think it’s rude that stress can cause breakouts hair loss headaches insomnia anxiety etc which are all things you’d…",1,4
"rt i love this black people are finally waking up democrats need % of the black v…",1,4
"rt girl scouts introduce peaceful protest badge for girls who throw their first molotov cocktail",1,4
"congrats to our denver cyclenation fundraising and distance challenge winners thank you to all our sponsors…",0,4
"can’t deny that tap dancing ass nigga talent",0,4
"he do",1,4
"rt its almost time the new season of themandalorian starts streaming tomorrow on disneyplus",1,4
"drawing and listening to the hotline miami ost makes me nostalgic for poptarts ",0,4
"can’t wait for abt<u+a><u+fef><u+><u+fef>",0,4
"hope they do",1,4
"“you learn more from getting your butt kicked than getting it kissed”",0,4
"rt video dropping shortly judge sullivan issues scorched earth order blocking all dejoy mail slowing policies judge sul…",1,4
"have you found what you’re looking for? superbloom",0,4
"rt mama’s fan choice awards mamavote treasure",1,4
"@himonica i forgot about that",1,4
"rt afrknlady the bussit baby’s still up by in the th quarter <u+fc><u+ffe>",1,4
"after he said that coon shit earlier about the riots and looting i just knew he was done for now here come his ass…",0,4
"get a grip",1,4
"kinda sad that theres nobody obsessing over me rn <u+f>",0,4
