text_object,containsMention_category,weekday_category
"mryan the evil empire of the east was beaten by tampa bay i don’t think the evil empire of the west will be",1,2
"valid point ",1,2
"rt making fun of not having a college education while wooing voters who don’t have a college education to own the libs",1,2
"rt i just saw this document i’m told it is to be signed by members of lagos judicial panel of inquiry few facts thi…",1,2
"i think if you bring your cats it should be free and likely the most popular booth <u+f>",1,2
"xxx black souls are filled with intrigue ",1,2
"rt man me when i get in the tub <u+fc>",1,2
"rt online after series of denials the nigerian army has finally admitted its soldiers were involved in the assault on protesters in…",1,2
"rt niggas born in and were on their parents health insurance until they were always are the ones on twitter asking what…",1,2
"noice",1,2
"rt me and her happy as we look the brother in front of us taking the pic and nothing else <u+><u+fef>",1,2
"rt look a chinese man who was a former pogo employee was apprehended with shabu glass bongs with pipes marijuana leav…",1,2
"never mind he came to his senses tehee<u+f><u+f>",0,2
"istg your fancam grrr",1,2
"rt dude i just go to bed lmao there is no routine i put my retainer in and call it a night",1,2
"if the twitter feeds have any indication it should be a landslide voteno matter if cali is red or blue",1,2
"rt we have important news to share with you",1,2
"ari i figured it out their from floribama shore whatever that is",1,2
"rt fheck it giveaway time im gonna give away x £ amazon gift cards <u+f> simply make sure youre following and rt so i can…",1,2
"i shoulda listened when you told me i would do better as a homie",0,2
" thats number please call them asap",1,2
"unbearabies tory behavior that",1,2
"agreed",1,2
"rt james o’keefe has uncovered multiple instances of voter fraud in this election he just released a video today of a wom…",1,2
"rt today is exactly one week since the lekki massacre happened it’s now pm on the dot soldiers started shooting liv…",1,2
"rt jada okay i loveeee these shoesss",1,2
"rt breaking trumps federal income tax records show for the first time that since deutsche bank and other lenders have f…",1,2
"ill stream only for liam not charlis sister",1,2
"ive been to canada",0,2
"rt acceptors in saturday’s lexus hotham <u+><u+> who can grab the last spot in the melbourne cup ? ashrun has s…",1,2
"@lynnlynn stan init for clear skin<u+>",1,2
"brownn people with bress",1,2
"somebody give me they hbo so i can watch lovecraft <u+f>",0,2
"wow where was this?",1,2
"she killed my vibe i hate it here",0,2
"rt this women has disappeared in texas last seen in deep ellum texas weeks ago she originally is from seattle attached i…",1,2
"rt opening a can of heinz real ghostbusters pasta from a thread ",1,2
"that boy one of a kind <u+f>",1,2
"steph or drose",0,2
"rt seriously have you met a confident democrat? anywhere?",1,2
"guee libor donggg",0,2
"rt so i’m excited to announce the launch luxe aside from school i’ve been working hard to make my visions come to life p…",1,2
"rt i don’t have enough words to describe my feelings towards china’s way of acting when it comes to the citizens of hongkong…",1,2
"@savv looks like i gotta take a trip to atl",1,2
"rt [preview] chanyeol minimal warm ost for webtoon drama ‘shes my type to be released on november st chanyeol <u+ccc><u+cf>…",1,2
"to be happier with my body",0,2
"rt barbarin y’all really out here just playing yourselves sometimes abledsareweird",1,2
"magicshop cancelled for being pretty<u+f><u+f>",1,2
"dawn dish soap",1,2
"rt beyoncé is seriously that bitch like seriously who else????",1,2
" for sure",0,2
"rt i think doing coke is healthier than this",1,2
"hello and ? ive seen a few eps of death note i dont remeber british people",1,2
"put his earnings on the back end % share only no hard cash numbers first part as he exits the…",1,2
"yes you shouldn’t be proud<u+f>",1,2
"i need to develop beyoncé’s work ethics",0,2
"this some bullshit",1,2
"rt it’s not vampire antihistamine it’s coffin syrup",1,2
"rt this boy has been missing since saturdayonifade pelumi was arrested at abattoir oko oba abule egba lagos by the task force…",1,2
"rt man still thinking about this “brilliant lawyer” you say lol",1,2
"daniels hear hear",1,2
"rt find more mcyttwt moots rt and follow everyoneincluding me who rts and replies and make sum friends dd if this flops ill…",1,2
"uk vile git disrespecting the dead",1,2
"rt the media has suppressed tony bobulinski’s story he is about to share details about his meeting with joe biden for the…",1,2
"i hope november suprise me something good <u+fa>",0,2
"fr that was great",1,2
"if you thinking bout unfollowing me just block me on the way out",0,2
"rt scotland no smoking in pubs scotland no drinking in pubs presbyterianism not even once",1,2
"its here the exciting new totara alliance partner program rewards top tier partners with exclusive new market opp…",0,2
"what are you munching on?",1,2
"shes in my phone case",1,2
"rt cd projekt red announced that despite going gold cyberpunk has been delayed for a third time this delay was made to improv…",1,2
"rt oftx joe rogan alex jones told me about jeffery epstein a decade ago alexjones",1,2
"we won<u+f>",1,2
"rt this suburban woman could care less what that grifter has to say ever",1,2
"in other news collecting them like infinity stones",1,2
"rt [sbken] yare yare",1,2
"just watched your netflix show in ireland loved it",1,2
"rt twice on radio star twice will share honest thoughts about continuing team activities chaeyoung ""i hope for a rap unit"" …",1,2
"this argument makes no sense to me bc it is quite literally the exact same as the western music industry ????",0,2
"an important distinction ",1,2
"rt just reminding everyone of baekhyun’s gaming skills",1,2
"i can compile a long thread to highlight all the reasons that scientists have given their…",1,2
"rt new there are over mistakes inaccuracies in brett kavanaugh’s “steal the election for trump” opinion from yesterday —…",1,2
"speaking of dystopian bingo cards <u+f> i didnt have ""brainwashed suicide cult walking bioweapons"" on mine did you?…",0,2
"rt change does not come easy",1,2
"sf dm me then",1,2
"gays",1,2
"pls stop airing me out like this <u+fd><u+fd>",0,2
"rt longest running hits in billboard global singles chart history weeks wap cardi b and dynamite …",1,2
"rt hey big spender",1,2
"rt dad new episode dad reacts to steelers vs titans",1,2
"rt no thoughts prayers",1,2
"rt this is like receiving a “sorry about your nan” card from harold shipman",1,2
"rt thehauntingofblymanor sketching out some memes",1,2
"rt i can and will start barking",1,2
"colleen gibson is a troll but shes only barely more absurd then these other sincere examples",1,2
"webber i have an amazing idea if you do dress up dress up and have fun maybe do some activities with jill…",1,2
"take a shot every time rokurou does well anything",0,2
"rt here is spotifys joe rogan giving alex jones a platform after spotify deplatformed jones back in ",1,2
"rt the admin and the boss",1,2
"rt any finger that retweets this will receive good news this week",1,2
"you’re all laughing now but when the beavis brothers get their own reality tv show like the kardashian’s we’ll see who’s laughing",0,2
"rt why is belift like this? theyre gonna be loud and then suspiciously quite and now suddenly announcing the pre order will be…",1,2
"whats up ? id like to hear brandys borderline",1,2
"warrir …",1,2
"its her birthday over here",0,2
"im voting for bts for favorite social artist at the amas twt",1,2
"rt the conservatives have a cradle to grave plan for wales |",1,2
"love and affection",0,2
"okay this is interesting he says the city should invest in infrastructure then lease it to private entities to actually provide the service",0,2
"i <u+><u+fef> this <u+fa><u+fb><u+fa><u+fb> song beautiful lyrics this song was used in one of my favorite movies for the <u+fe><u+fef><u+ffa><u+fac> soundtrack the…",0,2
"rt jo jo st album <u+e>the star<u+f> <u+fab> release shine a light unit teaser <u+f> thestar shin…",1,2
"youtube youtube please review your human review system sign the petition via",1,2
"rt ill be leading a curling social media marketing seminar on sunday through curler outreach come join us",1,2
"rt breaking trumps federal income tax records show for the first time that since deutsche bank and other lenders have f…",1,2
"wednesday wonders wizardi cards",0,2
"why y’all acting like y’all a job <u+f>",1,2
"bad bunny",0,2
"and it’s not even close",1,2
"i wish you good luck i am still hoping for koga on my end ",1,2
"rt bracketeersthe favorite songs “with a first name not named jude in the title” bracket is comin’ at ya’ brackets c…",1,2
"rt lawya been wondering why i don’t get the dms<u+fc> thought i should put myself out here be nice <u+f>",1,2
"and i say follow me follow me follow me down down down down til you see all my dreams not everything in this magi…",0,2
"discount vogacloset <u+fa> wx ",0,2
"i only altered my appearance not one thing changed i am an oni",0,2
"xd vem call c a mae",1,2
"rt ""inside deutsche bank angry executives and lawyers vowed to never again do business with mr trump"" by mas…",1,2
"rt we are moments away from our final digital zoom event with former governor tom ridge of pennsylvania and first secretary of ho…",1,2
"same",1,2
"when i mow out there field mice are a plenty<u+fb>",0,2
"rt i cannot believe were going to be getting an anime version of this????????",1,2
"rt i cant believe you are actually promoting your fucking shoes during a pandemic economic collapse where …",1,2
"rt rip to my dawg chris i remember us balling in minsky all the time bro you’re gonna be fucking missed g<u+fa>",1,2
"rt stanning bts wasn’t stanning at all it was like walking into a house and knowing youre home",1,2
"that will happen hope things stay safe there",1,2
"rt were really getting a video today in hours ",1,2
